"Variables ->","GDP","CORE_INF","S","RS","GDP_RW","RS_RW","D4L_CORE_INF_TAR","CPI_RW","RW","L_CPI_RW","L_CORE_INF","L_GDP","L_GDP_RW","L_L_CPI_RW","L_RW","L_S","L_Z","DLA_CPI_RW","DLA_CORE_INF","DLA_GDP","DLA_GDP_RW","DLA_L_CPI_RW","DLA_RW","DLA_S","DLA_Z","D4L_CPI_RW","D4L_CORE_INF","D4L_GDP","D4L_GDP_RW","D4L_L_CPI_RW","D4L_RW","D4L_S","D4L_Z","RR","RR_RW","RR_BAR","RR_GAP","L_Z_BAR","L_Z_GAP","RR_RW_BAR","RR_RW_GAP","DLA_Z_BAR","L_GDP_GAP","L_GDP_BAR","DLA_GDP_BAR","L_GDP_RW_BAR_PURE","L_GDP_RW_GAP_PURE","L_GDP_RW_BAR","L_GDP_RW_GAP"
"Comments ->"
"Class[Size] ->","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]"
"2013Q1",2.05417990e+05,1.10000000e+00,1.00860000e+02,3.00000000e+00,2.38330010e+06,1.50000000e+00,1.50000000e+00,2.37000000e+00,2.37638631e+00,8.62889955e-01,9.53101798e+00,1.22328022e+03,1.46839967e+03,-1.47468110e+01+0.00000000e+00i,8.65580978e+01,4.61373342e+02,4.52705214e+02,-2.61317390e-01,9.38288989e+01,-1.89647957e+00,-1.39129713e+00,-2.91923415e+01+0.00000000e+00i,-1.80237471e+01,2.82574181e+00,-9.12644744e+01,-1.66729462e-01,-1.43706721e+01,4.78289481e+00,-1.16029068e+00,-1.76657346e+01+0.00000000e+00i,-1.69338250e+01,1.23704690e+00,1.54409895e+01,1.73706721e+01,1.66672946e+00,2.19798663e+01,-4.60919420e+00,4.41543597e+02,1.11616169e+01,1.50873921e+00,1.57990250e-01,5.77375291e+00,6.46070841e-01,1.22523847e+03,3.83526892e+00,1.46986846e+03,-1.46879091e+00,1.46970601e+03,-1.30634101e+00
"2013Q2",2.10136840e+05,1.70000000e+00,1.01120000e+02,3.00000000e+00,2.39616548e+06,1.00000000e+00,1.50000000e+00,2.10000000e+00,2.12673486e+00,7.41937345e-01,5.30628251e+01,1.22555142e+03,1.46893803e+03,-2.98490480e+01+0.00000000e+00i,7.54587873e+01,4.61630793e+02,4.09309905e+02,-4.83810442e-01,1.74127229e+02,9.08482348e+00,2.15344764e+00,-6.04089480e+01+0.00000000e+00i,-4.43972419e+01,1.02980550e+00,-1.73581233e+02,-2.62364264e-01,8.87303195e+01,4.87324225e+00,-3.55165752e-01,-3.02782864e+01+0.00000000e+00i,-2.64830196e+01,1.33401680e+00,-8.76586670e+01,-8.57303195e+01,1.26236426e+00,1.91448588e+01,-1.04875178e+02,4.42865883e+02,-3.35559777e+01,1.44027771e+00,-1.77913443e-01,5.28914512e+00,9.47954795e-01,1.22620227e+03,3.85517559e+00,1.47008558e+03,-1.14754710e+00,1.46995391e+03,-1.01587884e+00
"2013Q3",2.11599970e+05,1.63000000e+00,1.02310000e+02,3.00000000e+00,2.40311827e+06,1.00000000e+00,1.50000000e+00,1.83000000e+00,1.83370248e+00,6.04315967e-01,4.88580015e+01,1.22624528e+03,1.46922777e+03,-5.03658094e+01+0.00000000e+00i,6.06337137e+01,4.62800742e+02,4.14547056e+02,-5.50485512e-01,-1.68192945e+01,2.77544826e+00,1.15897208e+00,-8.20670454e+01+0.00000000e+00i,-5.93002944e+01,4.67979580e+00,2.09486048e+01,-3.88935806e-01,1.18172720e+02,4.46216451e+00,3.84282966e-02,-4.96886995e+01+0.00000000e+00i,-3.85635947e+01,2.83524146e+00,-1.15726414e+02,-1.15172720e+02,1.38893581e+00,1.67156724e+01,-1.31888392e+02,4.44134132e+02,-2.95870755e+01,1.36961366e+00,1.93221466e-02,5.07299605e+00,6.91952533e-01,1.22716644e+03,3.85669497e+00,1.47032430e+03,-1.09652282e+00,1.47023052e+03,-1.00274387e+00
"2013Q4",2.14068960e+05,1.50000000e+00,1.02920000e+02,3.00000000e+00,2.41015812e+06,7.50000000e-01,1.50000000e+00,1.47000000e+00,1.45381557e+00,3.85262401e-01,4.05465108e+01,1.22740535e+03,1.46952029e+03,-9.53830616e+01+0.00000000e+00i,3.74191525e+01,4.63395199e+02,4.23233950e+02,-8.76214264e-01,-3.32459627e+01,4.64025916e+00,1.17007285e+00,-1.80069009e+02+0.00000000e+00i,-9.28582448e+01,2.37782701e+00,3.47475754e+01,-5.42956902e-01,5.44727175e+01,3.65101283e+00,7.72798860e-01,-8.79343360e+01+0.00000000e+00i,-5.36448820e+01,2.72829253e+00,-5.22873819e+01,-5.14727175e+01,1.29295690e+00,1.47560454e+01,-6.62287629e+01,4.45394486e+02,-2.21605356e+01,1.29617839e+00,-3.22148658e-03,5.04141574e+00,7.38911241e-03,1.22812613e+03,3.83877034e+00,1.47058543e+03,-1.06513708e+00,1.47053804e+03,-1.01774763e+00
"2014Q1",2.10937780e+05,1.23000000e+00,1.03590000e+02,3.00000000e+00,2.41989718e+06,7.50000000e-01,1.50000000e+00,1.13000000e+00,1.12623285e+00,1.22217633e-01,2.07014169e+01,1.22593185e+03,1.46992356e+03,-2.10195195e+02+0.00000000e+00i,1.18878302e+01,4.64044080e+02,4.43464881e+02,-1.05217907e+00,-7.93803755e+01,-5.89399905e+00,1.61307854e+00,-4.59248533e+02+0.00000000e+00i,-1.02125289e+02,2.59552506e+00,8.09237215e+01,-7.40672322e-01,1.11703990e+01,2.65163296e+00,1.52389278e+00,-1.95448384e+02+0.00000000e+00i,-7.46702676e+01,2.67073834e+00,-9.24033294e+00,-8.17039896e+00,1.49067232e+00,1.32472854e+01,-2.14176844e+01,4.46674595e+02,-3.20971438e+00,1.21941529e+00,2.71257031e-01,5.12043652e+00,-6.70426324e-01,1.22907633e+03,3.80079957e+00,1.47086910e+03,-9.45541403e-01,1.47087805e+03,-9.54492769e-01
"2014Q2",2.16030130e+05,1.10000000e+00,1.03050000e+02,3.00000000e+00,2.42517556e+06,4.00000000e-01,1.50000000e+00,9.00000000e-01,9.05559402e-01,-1.05360516e-01,9.53101798e+00,1.22831732e+03,1.47014145e+03,-2.25036733e+02+3.14159265e+02i,-9.92024025e+00,4.63521431e+02,4.53885052e+02,-9.10312594e-01,-4.46815958e+01,9.54187209e+00,8.71546393e-01,-5.93661515e+01+1.25663706e+03i,-8.72322818e+01,-2.09059709e+00,4.16806861e+01,-8.47297860e-01,-4.35318071e+01,2.76589511e+00,1.20341747e+00,-1.95187685e+02+3.14159265e+02i,-8.53790276e+01,1.89063769e+00,4.45751470e+01,4.65318071e+01,1.24729786e+00,1.21293075e+01,3.44024996e+01,4.47988259e+02,5.89679290e+00,1.13876575e+00,1.08532109e-01,5.25465704e+00,-9.25834276e-01,1.23001200e+03,3.74266625e+00,1.47117478e+03,-1.03333231e+00,1.47125150e+03,-1.11005656e+00
"2014Q3",2.17749530e+05,1.10000000e+00,1.02670000e+02,2.94000000e+00,2.43650274e+06,3.00000000e-01,1.50000000e+00,6.70000000e-01,6.74675879e-01,-4.00477567e-01,9.53101798e+00,1.22911007e+03,1.47060743e+03,-9.15097528e+01+3.14159265e+02i,-3.93522882e+01,4.63151996e+02,4.53220501e+02,-1.18046820e+00,0.00000000e+00,3.17102744e+00,1.86391609e+00,5.34107920e+02+0.00000000e+00i,-1.17728192e+02,-1.47773841e+00,-2.65820661e+00,-1.00479353e+00,-3.93269835e+01,2.86478991e+00,1.37965347e+00,-4.11439434e+01+3.14159265e+02i,-9.99860019e+01,3.51254142e-01,3.86734441e+01,4.22669835e+01,1.30479353e+00,1.13286405e+01,3.09383430e+01,4.49347273e+02,3.87322799e+00,1.05384069e+00,2.50952847e-01,5.43605302e+00,-6.63332185e-01,1.23092819e+03,3.66475762e+00,1.47150133e+03,-8.93905412e-01,1.47165874e+03,-1.05130976e+00
"2014Q4",2.19009580e+05,1.05000000e+00,1.02600000e+02,2.62000000e+00,2.44550272e+06,3.00000000e-01,1.50000000e+00,5.00000000e-01,4.99987895e-01,-6.93147181e-01,4.87901642e+00,1.22968708e+03,1.47097613e+03,-3.66512921e+01+3.14159265e+02i,-6.93171390e+01,4.63083793e+02,4.57511630e+02,-1.17067846e+00,-1.86080063e+01,2.30800634e+00,1.47480215e+00,2.19433843e+02+0.00000000e+00i,-1.19859403e+02,-2.72811430e-01,1.71645164e+01,-1.07840958e+00,-3.56674944e+01,2.28172670e+00,1.45583579e+00,5.87317696e+01+3.14159265e+02i,-1.06736292e+02,-3.11405468e-01,3.42776793e+01,3.82874944e+01,1.37840958e+00,1.07933147e+01,2.74941797e+01,4.50767114e+02,6.74451547e+00,9.64318850e-01,4.14090732e-01,5.67936644e+00,-1.46106068e-01,1.23182018e+03,3.56796856e+00,1.47184698e+03,-8.70856885e-01,1.47209940e+03,-1.12327575e+00
"2015Q1",2.20599640e+05,1.33000000e+00,1.01850000e+02,2.50000000e+00,2.46201288e+06,3.00000000e-01,1.50000000e+00,2.30000000e-01,2.27390161e-01,-1.46967597e+00,2.85178942e+01,1.23041048e+03,1.47164898e+03,3.85041948e+01+3.14159265e+02i,-1.48108796e+02,4.62350114e+02,4.32362544e+02,-3.10611516e+00,9.45555112e+01,2.89360070e+00,2.69141841e+00,3.00621947e+02+0.00000000e+00i,-3.15166630e+02,-2.93471603e+00,-1.00596342e+02,-1.59189360e+00,7.81647728e+00,4.47862664e+00,1.72542076e+00,2.48699390e+02+3.14159265e+02i,-1.59996627e+02,-1.69396574e+00,-1.11023366e+01,-5.31647728e+00,1.89189360e+00,1.04906970e+01,-1.58071743e+01,4.52265684e+02,-1.99031402e+01,8.70035837e-01,1.02185777e+00,5.99428037e+00,2.35020875e-01,1.23268360e+03,3.45369132e+00,1.47220940e+03,-5.60420741e-01,1.47257250e+03,-9.23517361e-01
"2015Q2",2.25505500e+05,1.50000000e+00,1.01180000e+02,2.50000000e+00,2.47355188e+06,3.00000000e-01,1.50000000e+00,1.70000000e-01,1.68979581e-01,-1.77195684e+00,4.05465108e+01,1.23260998e+03,1.47211657e+03,5.72084496e+01+3.14159265e+02i,-1.77797740e+02,4.61690111e+02,4.19371643e+02,-1.20912349e+00,4.81144663e+01,8.79802959e+00,1.87034661e+00,7.48170193e+01+0.00000000e+00i,-1.18755773e+02,-2.64001352e+00,-5.19636034e+01,-1.66659633e+00,3.10154928e+01,4.29266602e+00,1.97512081e+00,2.82245182e+02+0.00000000e+00i,-1.67877499e+02,-1.83131985e+00,-3.45134090e+01,-2.85154928e+01,1.96659633e+00,1.04053382e+01,-3.89208310e+01,4.53865098e+02,-3.44934551e+01,7.71086053e-01,1.19551027e+00,6.39765609e+00,2.47697360e-01,1.23351455e+03,3.32379091e+00,1.47258571e+03,-4.69141270e-01,1.47307632e+03,-9.59749942e-01
