"Variables ->","GDP","CORE_INF","S","RS","GDP_RW","RS_RW","D4L_CORE_INF_TAR","CPI_RW","RW","L_CPI_RW","L_CORE_INF","L_GDP","L_GDP_RW","L_L_CPI_RW","L_RW","L_S","L_Z","DLA_CPI_RW","DLA_CORE_INF","DLA_GDP","DLA_GDP_RW","DLA_L_CPI_RW","DLA_RW","DLA_S","DLA_Z","D4L_CPI_RW","D4L_CORE_INF","D4L_GDP","D4L_GDP_RW","D4L_L_CPI_RW","D4L_RW","D4L_S","D4L_Z","RR","RR_RW","RR_BAR","RR_GAP","L_Z_BAR","L_Z_GAP","RR_RW_BAR","RR_RW_GAP","DLA_Z_BAR","L_GDP_GAP","L_GDP_BAR","DLA_GDP_BAR","L_GDP_RW_BAR_PURE","L_GDP_RW_GAP_PURE","L_GDP_RW_BAR","L_GDP_RW_GAP","E_DLA_CORE_INF","MCI","OBS_CORE_INF","OBS_D4L_CORE_INF_TAR","OBS_DLA_CPI_RW","OBS_L_GDP","OBS_L_GDP_RW_GAP","OBS_L_S","OBS_RS","OBS_RS_RW","PREM","RMC","RSNEUTRAL","SHK_D4L_CORE_INF","SHK_D4L_CORE_INF_TAR","SHK_DLA_CORE_INF","SHK_DLA_CPI_RW","SHK_DLA_GDP_BAR","SHK_DLA_Z_BAR","SHK_L_GDP_GAP","SHK_L_GDP_RW_GAP","SHK_L_S","SHK_RR_BAR","SHK_RR_RW_BAR","SHK_RS","SHK_RS_RW","a1","a2","a3","b1","b2","b3","b4","e1","g1","g2","g3","rho_D4L_CORE_INF_TAR","rho_DLA_CPI_RW","rho_DLA_GDP_BAR","rho_DLA_Z_BAR","rho_L_GDP_RW_GAP","rho_RR_BAR","rho_RR_RW_BAR","rho_RS_RW","ss_D4L_CORE_INF_TAR","ss_DLA_CPI_RW","ss_DLA_GDP_BAR","ss_DLA_Z_BAR","ss_RR_BAR","ss_RR_RW_BAR","std_SHK_D4L_CORE_INF","std_SHK_D4L_CORE_INF_TAR","std_SHK_DLA_CORE_INF","std_SHK_DLA_CPI_RW","std_SHK_DLA_GDP_BAR","std_SHK_DLA_Z_BAR","std_SHK_L_GDP_GAP","std_SHK_L_GDP_RW_GAP","std_SHK_L_S","std_SHK_RR_BAR","std_SHK_RR_RW_BAR","std_SHK_RS","std_SHK_RS_RW","ttrend"
"2017Q2",2.36926380e+05,1.50000000e+00,1.05010000e+02,2.25000000e+00,2.58416657e+06,2.50000000e-01,1.50000000e+00,9.70000000e-01,9.49130336e-01,-3.06354743e+02,4.05465108e+01,1.23755047e+03,1.47649136e+03,-3.49136695e+02+3.14159265e+02i,-5.22091498e+00,4.65405558e+02,1.57550815e+02,2.65075189e+00,6.80000000e-01,9.56480000e+00,3.19869100e+00,-1.24994161e+03+0.00000000e+00i,2.63411321e+02,-2.12746400e+00,-1.56712110e-01,1.74149763e+00,9.00000000e-01,4.78593000e+00,2.70949786e+00,-4.06345145e+02+0.00000000e+00i,1.73546974e+02,1.72898300e+00,-8.81585919e+01,1.27366642e+00,-2.40075189e+00,1.47901580e+00,-2.05349376e-01,1.56896053e+02,6.54761639e-01,5.76624070e-02,-2.45841430e+00,1.26070630e+00,1.63739930e-01,1.23738673e+03,3.04605170e+00,1.47565525e+03,8.36105820e-01,1.47779559e+03,-1.30423293e+00,1.10533433e+00,-5.10949715e-01,1.50000000e+00,1.50000000e+00,2.65075189e+00,1.23755047e+03,-1.30423293e+00,4.65405558e+02,2.25000000e+00,2.50000000e-01,3.98788346e-01,4.09250784e-01,2.45534938e+00,0.00000000e+00,0.00000000e+00,-6.86759122e-01,-1.08279903e+00,-1.27024540e-01,2.69539954e-01,1.11701510e+00,-1.07610794e-01,-8.44930763e-02,-1.71908133e-01,3.53733614e-02,-6.94413106e-02,-4.91682859e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.10000000e+01
"2017Q3",2.39215500e+05,1.20000000e+00,1.04540000e+02,2.25000000e+00,2.60364026e+06,1.30000000e-01,1.50000000e+00,1.30000000e+00,1.31559361e+00,-3.06061920e+02,1.82321557e+01,1.23851201e+03,1.47724211e+03,-1.33802142e+02+0.00000000e+00i,2.74287977e+01,4.64956977e+02,1.57695057e+02,1.17129389e+00,-1.20000000e+00,3.84616000e+00,3.00300795e+00,8.61338213e+02-1.25663706e+03i,1.30598851e+02,-1.79432400e+00,5.76969890e-01,2.56494936e+00,4.00000000e-01,3.76806000e+00,2.98809784e+00,-2.17205386e+02-3.14159265e+02i,2.55967233e+02,1.07714000e+00,-3.69044208e+01,2.14530557e+00,-1.04129389e+00,1.89042138e+00,2.54884190e-01,1.57218514e+02,4.76542826e-01,2.59587910e-02,-1.06725268e+00,1.28984514e+00,3.93237242e-01,1.23811877e+03,2.92817075e+00,1.47598323e+03,1.25888519e+00,1.47838632e+03,-1.14420360e+00,-2.61222278e-01,-2.42486181e-01,1.20000000e+00,1.50000000e+00,1.17129389e+00,1.23851201e+03,-1.14420360e+00,4.64956977e+02,2.25000000e+00,1.30000000e-01,8.18586475e-01,4.34890034e-01,1.99511581e+00,0.00000000e+00,2.48689958e-14,-1.72095611e+00,-1.23066762e+00,-1.86150605e-01,2.67280100e-01,8.41833809e-01,-1.00817256e-01,-3.88333191e-01,4.32628744e-01,3.22688655e-02,1.95907245e-01,-3.09450536e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.00000000e+01
"2017Q4",2.43779160e+05,1.20000000e+00,1.04880000e+02,2.25000000e+00,2.62440804e+06,1.00000000e-01,1.50000000e+00,1.47000000e+00,1.51072491e+00,-3.05939022e+02,1.82321557e+01,1.24040180e+03,1.47803659e+03,-9.53830616e+01+0.00000000e+00i,4.12589608e+01,4.65281684e+02,1.58142662e+02,4.91592545e-01,-2.32766087e-13,7.55916000e+00,3.17791850e+00,1.53676321e+02+0.00000000e+00i,5.53206525e+01,1.29882800e+00,1.79042055e+00,2.15721924e+00,1.70000000e-01,4.35603000e+00,3.03460097e+00,-1.52591511e+02-3.14159265e+02i,2.16390519e+02,-1.90680000e-02,-1.31381238e+01,2.21246293e+00,-3.91592545e-01,2.03752657e+00,1.74936364e-01,1.57546950e+02,5.95712522e-01,-2.46070577e-02,-3.66985487e-01,1.31374176e+00,1.58620892e+00,1.23881559e+03,2.78727328e+00,1.47628480e+03,1.75179477e+00,1.47894984e+03,-9.13244012e-01,6.70148278e-01,-3.49104878e-01,1.20000000e+00,1.50000000e+00,4.91592545e-01,1.24040180e+03,-9.13244012e-01,4.65281684e+02,2.25000000e+00,1.00000000e-01,9.97140214e-01,1.09096072e+00,2.07506364e+00,0.00000000e+00,0.00000000e+00,-9.35396724e-02,-7.26802567e-01,-2.32743324e-01,2.67865648e-01,1.81619592e+00,2.11886800e-03,-8.19703940e-02,2.50609462e-01,7.06590950e-03,-1.09598246e-02,-9.73970975e-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.00000000e+00
"2018Q1",2.39973180e+05,1.00000000e+00,1.04000000e+02,2.25000000e+00,2.62624963e+06,7.00000000e-02,1.50000000e+00,1.43000000e+00,1.41246040e+00,-3.05966610e+02,0.00000000e+00,1.23882824e+03,1.47810674e+03,-1.02813208e+02+0.00000000e+00i,3.45333150e+01,4.64439090e+02,1.57472480e+02,-1.10351826e-01,-8.00000000e-01,-6.29424000e+00,2.80588100e-01,-2.97205854e+01+0.00000000e+00i,-2.69025832e+01,-3.37037600e+00,-2.68072783e+00,1.05082162e+00,-3.30000000e-01,3.66897000e+00,2.41505139e+00,-6.61619159e+01-3.14159265e+02i,1.05607060e+02,-1.49833400e+00,2.80703818e+01,2.83735567e+00,1.80351826e-01,2.33669345e+00,5.00662224e-01,1.57879262e+02,-4.06781820e-01,-7.38352658e-02,2.54187092e-01,1.32924954e+00,-6.43130545e-01,1.23947137e+03,2.62311787e+00,1.47655698e+03,1.54976006e+00,1.47947564e+03,-1.36890200e+00,-3.49422678e-01,4.36823550e-01,1.00000000e+00,1.50000000e+00,-1.10351826e-01,1.23882824e+03,-1.36890200e+00,4.64439090e+02,2.25000000e+00,7.00000000e-02,1.33312908e+00,-5.24956183e-01,1.74933778e+00,0.00000000e+00,7.10542736e-15,-3.97752838e-01,-7.84985862e-01,-2.84180752e-01,2.64256132e-01,-3.19357246e-01,-6.38306790e-01,-1.10561065e+00,4.32092192e-01,-1.70961965e-03,4.06124224e-01,2.68374184e-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.00000000e+00
"2018Q2",2.43855110e+05,1.05000000e+00,1.05290000e+02,2.25000000e+00,2.63986339e+06,4.00000000e-02,1.50000000e+00,1.43000000e+00,1.40507038e+00,-3.05966610e+02,4.87901642e+00,1.24043295e+03,1.47862377e+03,-1.02813208e+02+0.00000000e+00i,3.40087394e+01,4.65671845e+02,1.58655235e+02,-5.88821971e-15,2.00000000e-01,6.41884000e+00,2.06813493e+00,0.00000000e+00+0.00000000e+00i,-2.09830270e+00,4.93102000e+00,4.73102000e+00,3.88133652e-01,-4.50000000e-01,2.88248000e+00,2.13241237e+00,2.46323487e+02-3.14159265e+02i,3.92296543e+01,2.66287000e-01,3.63219145e+01,2.22441048e+00,4.00000000e-02,2.48875058e+00,-2.64340108e-01,1.58215960e+02,4.39274740e-01,-2.21645675e-01,2.61645675e-01,1.34679376e+00,3.45027215e-01,1.24008792e+03,2.46620896e+00,1.47679788e+03,1.82589124e+00,1.47995265e+03,-1.32887508e+00,7.02358094e-01,-3.83295658e-01,1.05000000e+00,1.50000000e+00,0.00000000e+00,1.24043295e+03,-1.32887508e+00,4.65671845e+02,2.25000000e+00,4.00000000e-02,1.61896125e+00,3.92150978e-01,2.51434011e+00,0.00000000e+00,-3.55271368e-15,2.02981274e-01,-1.93078539e-01,-3.09765336e-01,2.69394125e-01,1.09384653e+00,-2.33753480e-01,-1.04932030e-01,3.44815828e-01,-1.10137463e-01,3.57964547e-02,2.83291351e-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.00000000e+00
"2018Q3",2.46455570e+05,1.20000000e+00,1.08340000e+02,2.25000000e+00,2.64188568e+06,9.60877341e-16,1.50000000e+00,1.57000000e+00,1.56662737e+00,-3.05873209e+02,1.82321557e+01,1.24149370e+03,1.47870035e+03,-7.96120283e+01+0.00000000e+00i,4.48925139e+01,4.68527443e+02,1.61454234e+02,3.73604700e-01,6.00000000e-01,4.24300000e+00,3.06306123e-01,9.28047187e+01+0.00000000e+00i,4.35350982e+01,1.14223920e+01,1.11959967e+01,1.88711355e-01,-5.61162228e-13,2.98169000e+00,1.45823691e+00,5.41901135e+01+0.00000000e+00i,1.74637162e+01,3.57046600e+00,3.75917705e+00,1.82964766e+00,-3.73604700e-01,2.57408162e+00,-7.44433960e-01,1.58552496e+02,2.90173792e+00,-3.76711083e-01,3.10638269e-03,1.34614397e+00,8.38394460e-01,1.24065531e+03,2.26953102e+00,1.47700658e+03,1.69376667e+00,1.48036892e+03,-1.66856841e+00,1.68140936e+00,-2.21140065e+00,1.20000000e+00,1.50000000e+00,3.73604700e-01,1.24149370e+03,-1.66856841e+00,4.68527443e+02,2.25000000e+00,0.00000000e+00,1.85987753e+00,1.87006619e+00,2.99443396e+00,0.00000000e+00,2.13162821e-14,-1.12759684e+00,9.22447000e-02,-3.80916150e-01,2.54708962e-01,9.02300032e-01,-6.05468346e-01,1.16218353e+00,3.08501153e-01,-1.46954542e-01,-2.79529258e-01,-3.13787235e-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.00000000e+00
"2018Q4",2.50915480e+05,1.13000000e+00,1.09160000e+02,2.25000000e+00,2.65600188e+06,1.00000000e-02,1.50000000e+00,1.73000000e+00,1.77254042e+00,-3.05776163e+02,1.22217633e+01,1.24328714e+03,1.47923325e+03,-6.01258468e+01+0.00000000e+00i,5.72413781e+01,4.69281470e+02,1.62375307e+02,3.88183157e-01,-2.80000000e-01,7.17376000e+00,2.13160181e+00,7.79447260e+01+0.00000000e+00i,4.93954569e+01,3.01610800e+00,3.68429116e+00,1.62859008e-01,-7.00000000e-02,2.88534000e+00,1.19665774e+00,3.52572148e+01+0.00000000e+00i,1.59824173e+01,3.99978600e+00,1.01730371e+01,1.80694538e+00,-3.78183157e-01,2.10441455e+00,-2.97469175e-01,1.58879983e+02,3.49532424e+00,-4.15755883e-01,3.75727261e-02,1.30994588e+00,2.12317759e+00,1.24116396e+03,2.03462749e+00,1.47718330e+03,2.04994857e+00,1.48071168e+03,-1.47843158e+00,1.25221849e+00,-2.47201062e+00,1.13000000e+00,1.50000000e+00,3.88183157e-01,1.24328714e+03,-1.47843158e+00,4.69281470e+02,2.25000000e+00,1.00000000e-02,1.45821373e+00,2.80925091e+00,2.54746917e+00,0.00000000e+00,0.00000000e+00,-2.54551285e+00,-1.92060603e-01,-4.58477328e-01,2.19030709e-01,1.86088791e+00,-1.43576852e-01,6.96235748e-01,-2.29430743e-01,-6.19470169e-02,-2.72547927e-01,1.55145452e-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.00000000e+00
"2019Q1",2.47375570e+05,9.30000000e-01,1.08370000e+02,2.25000000e+00,2.67556536e+06,1.18728063e-15,1.50000000e+00,1.80000000e+00,1.79577041e+00,-3.05736498e+02,-7.25706928e+00,1.24186630e+03,1.47996713e+03,-5.31391212e+01+0.00000000e+00i,5.85434126e+01,4.68555130e+02,1.61888632e+02,1.58661026e-01,-8.00000000e-01,-5.68336000e+00,2.93550724e+00,2.79469026e+01+0.00000000e+00i,5.20813777e+00,-2.90536000e+00,-1.94669897e+00,2.30112221e-01,-7.00000000e-02,3.03806000e+00,1.86038753e+00,4.96740868e+01+0.00000000e+00i,2.40100975e+01,4.11604000e+00,1.16032214e+01,2.22577555e+00,-1.58661026e-01,2.14193290e+00,8.38426507e-02,1.59193752e+02,2.69488074e+00,-4.17433406e-01,2.58772380e-01,1.25507505e+00,2.55402974e-01,1.24161090e+03,1.78773846e+00,1.47732931e+03,2.63781185e+00,1.48096713e+03,-1.00000000e+00,5.76897804e-01,-1.80568925e+00,9.30000000e-01,1.50000000e+00,1.58661026e-01,1.24186630e+03,-1.00000000e+00,4.68555130e+02,2.25000000e+00,0.00000000e+00,1.54130627e+00,1.47514186e+00,2.16615735e+00,0.00000000e+00,1.24344979e-14,-1.60033005e+00,-4.33245500e-01,-5.17443533e-01,1.93118339e-01,-4.44488854e-01,1.82745264e-01,-1.64060144e-01,1.83821256e-01,-3.23886994e-02,5.67347355e-02,4.37544760e-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.00000000e+00
"2019Q2",2.50224240e+05,6.00000000e-01,1.08810000e+02,2.25000000e+00,2.68235359e+06,-5.19664341e-16,1.50000000e+00,1.77000000e+00,1.75782010e+00,-3.05753305e+02,-5.10825624e+01,1.24301128e+03,1.48022052e+03,-5.60401890e+01+0.00000000e+00i,5.64074460e+01,4.68960324e+02,1.62607019e+02,-6.72284733e-02,-1.32000000e+00,4.57992000e+00,1.01356272e+00,-1.16042714e+01+0.00000000e+00i,-8.54386643e+00,1.62077600e+00,2.87354753e+00,2.13305102e-01,-4.50000000e-01,2.57833000e+00,1.59674447e+00,4.67730190e+01+0.00000000e+00i,2.23987066e+01,3.28847900e+00,5.94633633e+01,2.73215837e+00,6.72284733e-02,2.44801723e+00,2.84141144e-01,1.59493602e+02,3.11341678e+00,-4.55777997e-01,5.23006470e-01,1.19940334e+00,1.00080270e+00,1.24201048e+03,1.59832111e+00,1.47744718e+03,2.77333529e+00,1.48112052e+03,-9.00000000e-01,4.71366503e-01,-2.02619825e+00,6.00000000e-01,1.50000000e+00,-6.72284733e-02,1.24301128e+03,-9.00000000e-01,4.68960324e+02,2.25000000e+00,0.00000000e+00,1.93027256e+00,2.05710974e+00,1.96585886e+00,0.00000000e+00,1.24344979e-14,-2.05710147e+00,-4.75517294e-01,-5.09349652e-01,1.81343303e-01,7.63768300e-01,-1.00000000e-01,2.30669762e-01,4.59890912e-01,-6.93912720e-02,1.06711912e-02,1.04601294e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.00000000e+00
"2019Q3",2.52410680e+05,5.70000000e-01,1.10000000e+02,2.25000000e+00,2.68852994e+06,4.74337747e-17,1.50000000e+00,1.50000000e+00,1.47422456e+00,-3.05918819e+02,-5.62118918e+01,1.24388127e+03,1.48045051e+03,-9.02720456e+01+0.00000000e+00i,3.88132132e+01,4.70048037e+02,1.63559218e+02,-6.62057754e-01,-1.20000000e-01,3.47996000e+00,9.19975671e-01,-1.36927426e+02+0.00000000e+00i,-7.03769312e+01,4.35085200e+00,3.80879425e+00,-4.56105113e-02,-6.30000000e-01,2.38757000e+00,1.75016186e+00,-1.06600173e+01+0.00000000e+00i,-6.07930075e+00,1.52059400e+00,7.59190305e+01,2.46218675e+00,6.62057754e-01,2.44157956e+00,2.06071901e-02,1.59778010e+02,3.78120806e+00,-4.87288779e-01,1.14934653e+00,1.13762914e+00,1.50734081e+00,1.24237393e+03,1.45380753e+00,1.47754111e+03,2.90940089e+00,1.48175051e+03,-1.30000000e+00,1.39125301e+00,-2.56462718e+00,5.70000000e-01,1.50000000e+00,-6.62057754e-01,1.24388127e+03,-1.30000000e+00,4.70048037e+02,2.25000000e+00,0.00000000e+00,2.00476503e+00,2.64427444e+00,2.22939281e+00,0.00000000e+00,3.55271368e-15,-1.20663842e+00,-8.89634975e-01,-5.02329364e-01,1.64106464e-01,1.07770382e+00,-5.80000000e-01,6.81785531e-01,2.08585772e-01,-7.02263819e-02,-1.64261751e-01,2.29869307e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.00000000e+00
"2019Q4",2.56777890e+05,3.00000000e-01,1.10100000e+02,2.25000000e+00,2.68659702e+06,-1.49292199e-15,1.50000000e+00,1.23000000e+00,1.24657790e+00,-3.06117270e+02,-1.20397280e+02,1.24559667e+03,1.48037859e+03,-1.57496804e+02+0.00000000e+00i,2.20402118e+01,4.70138904e+02,1.63721634e+02,-7.93803755e-01,-1.08000000e+00,6.86160000e+00,-2.87683636e-01,-2.68899032e+02+0.00000000e+00i,-6.70920054e+01,3.63468000e-01,6.49664245e-01,-3.41107239e-01,-8.30000000e-01,2.30953000e+00,1.14534050e+00,-9.73709569e+01+0.00000000e+00i,-3.52011663e+01,8.57434000e-01,1.33135371e+02,2.70485712e+00,7.93803755e-01,2.15754367e+00,5.47313452e-01,1.60044727e+02,3.67690664e+00,-4.69453393e-01,1.26325715e+00,1.06686994e+00,2.87932694e+00,1.24271734e+03,1.37365550e+00,1.47761704e+03,2.76154990e+00,1.48197859e+03,-1.60000000e+00,7.00571519e-01,-2.32515621e+00,3.00000000e-01,1.50000000e+00,-7.93803755e-01,1.24559667e+03,-1.60000000e+00,4.70138904e+02,2.25000000e+00,0.00000000e+00,1.75950111e+00,3.27811679e+00,1.70268655e+00,0.00000000e+00,0.00000000e+00,-2.92728700e+00,-5.45517552e-01,-4.66870524e-01,1.42766630e-01,2.51450443e+00,-5.60000000e-01,3.74897440e-01,-7.02999772e-02,-2.71823693e-02,-9.62626398e-02,2.52651430e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.00000000e+00
"2020Q1",2.49490910e+05,6.70000000e-01,1.10740000e+02,2.00000000e+00,2.59172689e+06,1.80029007e-15,1.50000000e+00,1.17000000e+00,1.18425651e+00,-3.06167281e+02,-4.00477567e+01,1.24271778e+03,1.47678350e+03,-1.85148560e+02+0.00000000e+00i,1.69115159e+01,4.70718511e+02,1.63881230e+02,-2.00041682e-01,1.48000000e+00,-1.15155600e+01,-1.43803752e+01,-1.10607024e+02+0.00000000e+00i,-2.05147837e+01,2.31842800e+00,6.38386318e-01,-4.30782916e-01,-2.60000000e-01,8.51480000e-01,-3.18363011e+00,-1.32009438e+02+0.00000000e+00i,-4.16318967e+01,2.16338100e+00,3.45232858e+01,1.37796611e+00,2.00041682e-01,1.91476573e+00,-5.36799621e-01,1.60293636e+02,3.58759487e+00,-4.48907080e-01,6.48948762e-01,9.95633397e-01,-3.45346915e-01,1.24306313e+03,1.38313542e+00,1.47768273e+03,-8.99234837e-01,1.47878350e+03,-2.00000000e+00,2.20813555e+00,-2.61134039e+00,6.70000000e-01,1.50000000e+00,-2.00041682e-01,1.24271778e+03,-2.00000000e+00,4.70718511e+02,2.00000000e+00,0.00000000e+00,1.55316610e+00,1.62112398e+00,2.53679962e+00,0.00000000e+00,1.06581410e-14,4.34183792e-01,1.53641322e-01,-3.93268980e-01,1.28137446e-01,-1.02134038e+00,-7.20000000e-01,5.67446961e-01,-8.58492012e-02,-2.09043657e-02,-3.94225115e-01,1.29789752e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000000e+00
"2020Q2",2.14788020e+05,8.00000000e-01,1.10100000e+02,1.50000000e+00,2.28938444e+06,4.06383563e-15,1.50000000e+00,9.00000000e-01,9.05741437e-01,-3.06429645e+02,-2.23143551e+01,1.22774069e+03,1.46437935e+03,-2.25036733e+02+3.14159265e+02i,-9.90014034e+00,4.70138904e+02,1.62909259e+02,-1.04945706e+00,5.20000000e-01,-5.99083600e+01,-4.96165714e+01,-1.59552692e+02+1.25663706e+03i,-1.07246625e+02,-2.31842800e+00,-3.88788506e+00,-6.76340062e-01,2.00000000e-01,-1.52705900e+01,-1.58411636e+01,-1.68996544e+02+3.14159265e+02i,-6.63075863e+01,1.17858000e+00,-2.82659671e+01,1.17948276e+00,1.04945706e+00,3.09847297e+00,-1.91899021e+00,1.60525300e+02,2.38395909e+00,-4.09155717e-01,1.45861278e+00,9.26658056e-01,-1.57153320e+01,1.24345602e+03,1.57158040e+00,1.47774767e+03,-1.33683145e+01,1.46647935e+03,-2.10000000e+00,3.62068960e-01,-2.23516905e+00,8.00000000e-01,1.50000000e+00,-1.04945706e+00,1.22774069e+03,-2.10000000e+00,4.70138904e+02,1.50000000e+00,0.00000000e+00,2.75230224e+00,-6.66568646e+00,3.41899021e+00,0.00000000e+00,-1.77635684e-15,2.82001565e+00,-1.17078371e+00,-2.12407938e-01,1.16151338e-01,-1.52288252e+01,-5.00000000e-01,-1.40468349e+00,1.29208038e+00,2.40994731e-03,7.39224672e-01,2.91722555e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00000000e+00
"2020Q3",2.35557970e+05,5.30000000e-01,1.11840000e+02,1.50000000e+00,2.58283174e+06,1.79725543e-16,1.50000000e+00,7.00000000e-01,6.78175916e-01,-3.06680959e+02,-6.34878272e+01,1.23697123e+03,1.47643969e+03,-1.03093043e+02+3.14159265e+02i,-3.88348561e+01,4.71706928e+02,1.64495969e+02,-1.00525771e+00,-1.08000000e+00,3.69221600e+01,4.82413571e+01,4.87774758e+02+0.00000000e+00i,-1.15738863e+02,6.27209600e+00,6.34683829e+00,-7.62140052e-01,-4.00000000e-02,-6.91004000e+00,-4.01081828e+00,-1.28209977e+01+3.14159265e+02i,-7.76480693e+01,1.65889100e+00,8.17268665e+00,1.15889946e+00,1.00525771e+00,3.39011094e+00,-2.23121148e+00,1.60745925e+02,3.75004387e+00,-4.71917200e-01,1.47717491e+00,8.82499168e-01,-6.99594726e+00,1.24396718e+03,2.04462098e+00,1.47782077e+03,-1.38108099e+00,1.47873969e+03,-2.30000000e+00,4.44402163e-01,-3.26401750e+00,5.30000000e-01,1.50000000e+00,-1.00525771e+00,1.23697123e+03,-2.30000000e+00,4.71706928e+02,1.50000000e+00,0.00000000e+00,3.14202880e+00,-1.62295170e+00,3.73121148e+00,0.00000000e+00,1.77635684e-15,-7.58285017e-01,-4.47052062e-01,1.09876668e-01,1.27172724e-01,-1.95339959e+00,-6.20000000e-01,-2.62544750e-01,6.36752562e-01,-9.21526268e-02,2.43405657e-01,2.95434982e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.00000000e+00
